Date,Dublin - all residential properties,Dublin - apartments,Dublin - houses,National - all residential properties,National - apartments,National - houses,National excluding Dublin - all residential properties,National excluding Dublin - apartments,National excluding Dublin - houses,National - all residential properties MoM %,National - all residential properties YoY %,Dublin - all residential properties MoM %,Dublin - all residential properties YoY %,National excluding Dublin - all residential properties MoM %,National excluding Dublin - all residential properties YoY %
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,
2005-02-01,102.1,103.3,101.7,100.8,100.2,100.9,100.1,94.2,100.6,0.8000000000000007,,2.0999999999999908,,0.09999999999998899,
2005-03-01,102.9,104.2,102.6,101.4,100.2,101.6,100.5,92.1,101.1,0.5952380952380931,,0.7835455435847294,,0.3996003996004083,
2005-04-01,103.6,104.2,103.7,102.1,100.0,102.4,101.2,91.3,101.8,0.6903353057199135,,0.680272108843516,,0.6965174129353269,
2005-05-01,104.4,104.2,104.8,102.8,100.2,103.2,101.9,91.9,102.5,0.6856023506366382,,0.7722007722007929,,0.6916996047430901,
2005-06-01,104.5,103.7,105.1,103.7,99.9,104.3,103.3,91.6,104.0,0.8754863813229541,,0.09578544061301653,,1.3738959764474812,
2005-07-01,105.7,103.3,106.9,105.3,100.1,106.2,105.1,93.5,105.8,1.5429122468659573,,1.1483253588516762,,1.742497579864466,
2005-08-01,107.8,104.6,108.9,107.1,101.5,107.8,106.7,96.7,107.3,1.7094017094017033,,1.9867549668874052,,1.5223596574690745,
2005-09-01,109.7,106.8,110.5,108.2,103.1,108.8,107.4,98.5,108.0,1.0270774976657515,,1.7625231910946226,,0.6560449859418949,
2005-10-01,112.8,108.4,114.0,110.6,105.2,111.1,109.3,102.4,109.7,2.218114602587784,,2.8258887876025485,,1.7690875232774683,
2005-11-01,114.3,109.6,115.6,111.5,106.5,112.0,110.0,103.8,110.4,0.8137432188065175,,1.3297872340425565,,0.6404391582799596,
2005-12-01,114.9,111.2,116.0,112.6,108.4,113.0,111.4,106.4,111.7,0.9865470852017832,,0.5249343832021136,,1.2727272727272698,
2006-01-01,115.4,111.0,116.9,113.2,109.3,113.7,111.9,108.0,112.2,0.5328596802842034,13.200000000000012,0.4351610095735481,15.400000000000013,0.4488330341113178,11.899999999999999
2006-02-01,116.4,111.6,118.1,113.5,110.2,114.0,111.8,108.0,112.2,0.26501766784452485,12.599206349206348,0.8665511265164572,14.005876591576904,-0.08936550491510653,11.688311688311682
2006-03-01,117.1,112.1,118.8,114.1,110.9,114.7,112.4,107.9,112.8,0.528634361233471,12.524654832347126,0.6013745704467333,13.799805636540308,0.5366726296959001,11.840796019900512
2006-04-01,119.2,114.4,120.7,115.8,112.5,116.3,113.9,108.5,114.3,1.4899211218229569,13.418217433888358,1.7933390264731175,15.057915057915071,1.3345195729537407,12.549407114624511
2006-05-01,122.3,116.3,124.2,118.2,114.0,118.8,115.8,109.5,116.3,2.0725388601036343,14.980544747081726,2.6006711409396033,17.1455938697318,1.668129938542573,13.640824337585865
2006-06-01,125.5,118.0,127.8,120.3,115.3,121.1,117.4,110.0,118.0,1.7766497461928932,16.00771456123433,2.6165167620605168,20.095693779904302,1.3816925734024155,13.649564375605049
2006-07-01,129.5,119.5,132.7,123.0,116.7,124.0,119.5,111.4,120.1,2.244389027431426,16.80911680911681,3.1872509960159334,22.51655629139073,1.7887563884156688,13.701236917221692
2006-08-01,133.3,122.7,136.6,125.8,119.0,126.7,121.6,112.7,122.2,2.276422764227637,17.460317460317466,2.934362934362933,23.654916512059376,1.7573221757322122,13.96438612933457
2006-09-01,133.5,124.8,136.3,126.8,120.9,127.6,123.1,114.7,123.7,0.7949125596184325,17.19038817005545,0.15003750937734317,21.69553327256153,1.233552631578938,14.618249534450634
2006-10-01,134.4,124.7,137.7,127.6,121.8,128.5,123.8,116.6,124.3,0.6309148264984188,15.370705244122963,0.6741573033707926,19.14893617021278,0.5686433793663737,13.266239707227822
2006-11-01,133.9,125.3,137.0,127.6,122.4,128.5,124.1,116.1,124.7,0.0,14.439461883408056,-0.37202380952381375,17.147856517935267,0.24232633279481774,12.818181818181817
2006-12-01,134.1,125.9,137.0,128.6,123.1,129.6,125.5,116.4,126.2,0.7836990595611271,14.20959147424512,0.14936519790886837,16.710182767624016,1.1281224818694646,12.657091561938948
2007-01-01,134.3,127.3,136.6,129.7,124.4,130.6,127.1,117.6,127.8,0.8553654743390204,14.575971731448757,0.1491424310216427,16.377816291161174,1.2749003984063645,13.583556747095615
2007-02-01,135.0,128.5,137.0,130.3,125.3,131.1,127.7,117.9,128.4,0.46260601387819733,14.801762114537453,0.5212211466865124,15.979381443298957,0.4720692368214152,14.221824686940977
2007-03-01,133.7,126.2,136.5,130.5,124.4,131.6,128.6,118.2,129.4,0.15349194167304514,14.373356704645058,-0.9629629629629766,14.175918018787348,0.7047768206734473,14.412811387900337
2007-04-01,134.0,123.6,138.2,131.0,123.4,132.5,129.2,119.1,130.0,0.3831417624521105,13.12607944732298,0.2243829468960401,12.416107382550322,0.4665629860031162,13.432835820895516
2007-05-01,132.7,124.7,135.5,130.6,124.0,131.8,129.3,119.5,130.0,-0.3053435114503844,10.490693739424707,-0.9701492537313561,8.503679476696636,0.07739938080497666,11.658031088082922
