"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM06C01","Residential Property Price Index","200501","2005 January","-","National - all residential properties","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200501","2005 January","01","National - houses","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200501","2005 January","02","National - apartments","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200501","2005 January","05","Dublin - all residential properties","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200501","2005 January","06","Dublin - houses","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200501","2005 January","07","Dublin - apartments","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200501","2005 January","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200501","2005 January","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200501","2005 January","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200501","2005 January","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200501","2005 January","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200501","2005 January","04","National excluding Dublin - houses","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200501","2005 January","12","National excluding Dublin - apartments","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200501","2005 January","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200501","2005 January","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200501","2005 January","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200501","2005 January","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200501","2005 January","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
